sensor_id,value,unit,taken_at
29d6c54e-7b93-4534-bce7-94c05d2338f1,744,wh,2023-05-01 00:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,659,wh,2023-05-01 01:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,418,wh,2023-05-01 02:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,405,wh,2023-05-01 03:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,580,wh,2023-05-01 04:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,310,wh,2023-05-01 05:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,320,wh,2023-05-01 06:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,313,wh,2023-05-01 07:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,665,wh,2023-05-01 08:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,263,wh,2023-05-01 09:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,900,wh,2023-05-01 10:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,260,wh,2023-05-01 11:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,446,wh,2023-05-01 12:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,662,wh,2023-05-01 13:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,544,wh,2023-05-01 14:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,961,wh,2023-05-01 15:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,713,wh,2023-05-01 16:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,577,wh,2023-05-01 17:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,447,wh,2023-05-01 18:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,317,wh,2023-05-01 19:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,439,wh,2023-05-01 20:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,269,wh,2023-05-01 21:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,754,wh,2023-05-01 22:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,494,wh,2023-05-01 23:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,294,wh,2023-05-02 00:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,885,wh,2023-05-02 01:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,792,wh,2023-05-02 02:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,302,wh,2023-05-02 03:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,718,wh,2023-05-02 04:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,209,wh,2023-05-02 05:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,692,wh,2023-05-02 06:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,578,wh,2023-05-02 07:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,446,wh,2023-05-02 08:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,323,wh,2023-05-02 09:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,224,wh,2023-05-02 10:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,273,wh,2023-05-02 11:00:00
29d6c54e-7b93-4534-bce7-94c05d2338f1,932,wh,2023-05-02 12:00:00
